Note,Tags,State
Georgia National Guard,National Guard,Georgia
State of Georgia Department of Education,,Georgia
Georgia lottery,,Georgia
GA Do Not Call List. GA Dept of Law. Consumer Protection Unit.,,
Georgia State Defense Force,Georgia State Defense,Georgia
Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.,Georgia State Defense,Georgia
Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.,Georgia State Defense,Georgia
"""GEAR UP Mississippi operates as part of the Institutions of Higher Learning",,Mississippi
Lousiana National Guard,National Guard,
New Mexico Bureau of Geology & Mineral Resources,New Mexico,New Mexico
The Georgia Civil War Commission,,Georgia
The Georgia Fiscal Management Council,,Georgia
Georgia Trust (Preservation Committee),,Georgia
Governor's Office of Homeland Security and Emergency Preparedness,,
Oregon Student Access Commission,,Oregon
Ga National Fair Grounds and Agricenter,,
Georgia Commission on Dispute Resolution,,Georgia
"""Hawaii Tourism Authority",,Hawaii
Pennsylvania Fish and Boat Commission's Outdoor Shop,,Pennsylvania
"""Got to Be NC Agriculture",,
"""Got To Be NC Festival",,
Consumer Protection Division of the Arkansas Attorney General's Office,,Arkansas
"""Office of the Governor and Lt. Governor",,
"""*.gov.pr pattern for several Puerto Rican government agencies",,
*.gov.vi pattern for Virgin Island government sites,,
"""Virginia Correctional Enterprises",,Virginia
"""Governor Phil Bryant (Mississippi's 64th governor",,
Governor Morehead School for the Blind,,
"""Office of Group Benefits",,
Georgia Student Finance Commission,,Georgia
Guam Attorney General,,
Guam Legislature,,
Guam Department of Revenue and Taxation,,
Official site of the Washington Dairy Products Commission,,Washington
Hawaii State Department of Education,,Hawaii
"""Village of Hoffman Estates",,
Minnesota House of Representatives,,Minnesota
Historical Society of New Mexico,New Mexico,New Mexico
Michigan State Humanities and Social Services Online,,Michigan
High Technology Development Corporation. HTDC 'is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry.',,Hawaii
NC health and Wellness Trust fund,,
Iowa Lottery,,Iowa
University of Nebraska - Lincoln Extension publications,,Nebraska
Idaho Army National Guard,National Guard,Idaho
Idaho Lottery,,Idaho
IDeal - Idaho College Savings Program,,Idaho
"""Benefits Portal",,
Office of the Illinois State Treasurer,,Illinois
Illinois Lottery,,Illinois
Travel and Tourism Site for New York,"Travel Tourism Site, New York",New York
"""Inclusive Health",,
Innovate Washington is hereby created as a state agency exercising public and essential governmental functions. Innovate Washington is created as the successor to the Washington technology center and the Spokane intercollegiate research and technology institute (SIRTI). See http://apps.leg.wa.gov/RCW/default.aspx?cite=43.333&full=true,,Washington
Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation.,Economic Development Authority,
Montana Board of Investments,,Montana
Iowa Economic Development Authority,Economic Development Authority,Iowa
"""Iowa Tribe of Oklahoma",,Iowa
Iowa National Guard,National Guard,Iowa
Iowa State Fair,,Iowa
"""The North Carolina Division of Public Health","North Carolina Division, The North Carolina",North Carolina
new jersey history site,,
Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities,"State North Carolina, North Carolina Division",North Carolina
Jobs4Jersey. NJ Department of Labor and Workforce Development.,,
"""Unified Courts of Guam",,
"""Justice Administration Commission - The Justice Administrative Commission (JAC)",,
Kentucky Academic Advising Association,,Kentucky
Kansas Highway Patrol,,Kansas
kentucky center,,
Kentucky National Guard,National Guard,Kentucky
kentucky housing corp,,
Kentucky State Police,,Kentucky
Travel and Tourism Site for Kentucky,Travel Tourism Site,Kentucky
Kentucky Higher Education Assistance Authority,,Kentucky
Ky legislature,,
Kansas State Board of Healing Arts,State Board,Kansas
Kansas State Board of Nursing,State Board,Kansas
Kansas Judicial Branch,,Kansas
Kansas Department of Transportation,,Kansas
Kansas Historical Society,,Kansas
Kansas State Legislature,,Kansas
